,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),
,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(0.0299),(0.0302),(0.0299),(0.0297),(0.0301),(0.0298),(0.0300),(0.0305),(0.0302),(0.0310),(0.0314),(0.0307),(0.0317),(0.0322),(0.0316),(0.0321),(0.0327),(0.0320),(0.0311),(0.0315),(0.0306),(0.0316),(0.0322),(0.0315),(0.0318),(0.0326),(0.0319),(0.0216),(0.0219),(0.0212),(0.0218),(0.0221),(0.0214),(0.0216),(0.0219),(0.0214),(0.0215),(0.0219),(0.0206),(0.0220),(0.0226),(0.0213),(0.0219),(0.0225),(0.0214),(0.0220),(0.0224),(0.0210),(0.0225),(0.0231),(0.0216),(0.0219),(0.0226),(0.0217),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlgep,0.00936,0.00633,0.00720,0.00999,0.00668,0.00751,0.0107*,0.00725,0.00738,0.00921,0.00606,0.00685,0.00961,0.00640,0.00718,0.0103*,0.00699,0.00710,0.0113*,0.00822,0.00832,0.0116*,0.00838,0.00845,0.0118*,0.00847,0.00859,0.0172***,0.0149***,0.0149***,0.0172***,0.0149***,0.0149***,0.0172***,0.0147***,0.0147***,0.0170***,0.0147***,0.0146***,0.0168***,0.0146***,0.0146***,0.0168***,0.0145***,0.0145***,0.0177***,0.0154***,0.0154***,0.0176***,0.0155***,0.0155***,0.0178***,0.0156***,0.0156***,
,(0.00534),(0.00533),(0.00543),(0.00512),(0.00493),(0.00501),(0.00512),(0.00489),(0.00501),(0.00517),(0.00496),(0.00507),(0.00500),(0.00480),(0.00487),(0.00499),(0.00475),(0.00489),(0.00500),(0.00495),(0.00506),(0.00487),(0.00482),(0.00494),(0.00476),(0.00466),(0.00477),(0.00401),(0.00392),(0.00394),(0.00395),(0.00389),(0.00390),(0.00401),(0.00396),(0.00396),(0.00383),(0.00363),(0.00360),(0.00369),(0.00367),(0.00365),(0.00374),(0.00374),(0.00371),(0.00389),(0.00378),(0.00376),(0.00376),(0.00386),(0.00384),(0.00384),(0.00396),(0.00393),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlgep,,0.00806,0.00670,,0.00908,0.00838,,0.00936,0.00852,,0.00833,0.00758,,0.00891,0.00841,,0.00910,0.00851,,0.00774,0.00720,,0.00834,0.00792,,0.00885,0.00824,,0.00560,0.00629,,0.00590,0.00681,,0.00626,0.00701,,0.00589,0.00716,,0.00555,0.00682,,0.00583,0.00694,,0.00559,0.00692,,0.00513,0.00646,,0.00567,0.00675,
,,(0.00438),(0.00393),,(0.00461),(0.00446),,(0.00498),(0.00463),,(0.00461),(0.00443),,(0.00461),(0.00460),,(0.00498),(0.00475),,(0.00484),(0.00458),,(0.00490),(0.00478),,(0.00501),(0.00482),,(0.00340),(0.00350),,(0.00352),(0.00372),,(0.00359),(0.00370),,(0.00389),(0.00403),,(0.00377),(0.00398),,(0.00384),(0.00397),,(0.00401),(0.00412),,(0.00388),(0.00406),,(0.00387),(0.00400),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlgep,,,0.00417,,,0.00235,,,0.00255,,,0.00233,,,0.00172,,,0.00186,,,0.00172,,,0.00127,,,0.00192,,,-0.00232,,,-0.00276,,,-0.00247,,,-0.00412,,,-0.00397,,,-0.00379,,,-0.00443,,,-0.00427,,,-0.00368,
,,,(0.00560),,,(0.00589),,,(0.00627),,,(0.00551),,,(0.00578),,,(0.00615),,,(0.00575),,,(0.00594),,,(0.00609),,,(0.00480),,,(0.00492),,,(0.00514),,,(0.00466),,,(0.00476),,,(0.00503),,,(0.00475),,,(0.00486),,,(0.00498),
