Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates,,,
,,TIMESPAN:Timespan,2000-01-01_2023-12-31:,14/11/2024,2024-11-18 01:17 CET,BIS,https://data.bis.org/topics/EER/data?filter=TIMESPAN%3D2000-01-01_2023-12-31%255EFREQ%3DM%255EEER_TYPE%3DN%255EEER_BASKET%3DB%255EREF_AREA_TXT%3DDenmark%257CIceland%257CNorway%257CSweden%257CUnited%2520Kingdom&data_view=timeseries&selected_ts=BIS%2CWS_EER%2C1.0%255EM.N.B.DK%2BIS%2BNO%2BSE%2BGB,https://data.bis.org/topics/EER/data?filter=TIMESPAN%3D2000-01-01_2023-12-31%255EFREQ%3DM%255EEER_TYPE%3DN%255EEER_BASKET%3DB%255EREF_AREA_TXT%3DDenmark%257CIceland%257CNorway%257CSweden%257CUnited%2520Kingdom&data_view=timeseries&selected_ts=BIS%2CWS_EER%2C1.0%255EM.N.B.DK%2BIS%2BNO%2BSE%2BGB&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER,,,
,,,,,,,,,,,,
DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2003,F:Free,,A:Normal value,94.56
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2003,F:Free,,A:Normal value,95.3
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2003,F:Free,,A:Normal value,95.2
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2003,F:Free,,A:Normal value,96.34
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2004,F:Free,,A:Normal value,96.88
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,29/02/2004,F:Free,,A:Normal value,96.86
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2004,F:Free,,A:Normal value,96.07
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2004,F:Free,,A:Normal value,95.34
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2004,F:Free,,A:Normal value,95.77
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2004,F:Free,,A:Normal value,95.89
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2004,F:Free,,A:Normal value,96.13
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2004,F:Free,,A:Normal value,96
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2004,F:Free,,A:Normal value,96.05
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2004,F:Free,,A:Normal value,96.44
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2004,F:Free,,A:Normal value,97
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2004,F:Free,,A:Normal value,97.41
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2005,F:Free,,A:Normal value,96.78
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,28/02/2005,F:Free,,A:Normal value,96.4
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2005,F:Free,,A:Normal value,96.65
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2005,F:Free,,A:Normal value,96.34
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2005,F:Free,,A:Normal value,95.94
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2005,F:Free,,A:Normal value,94.75
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2005,F:Free,,A:Normal value,94.79
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2005,F:Free,,A:Normal value,94.92
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2005,F:Free,,A:Normal value,94.67
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2005,F:Free,,A:Normal value,94.48
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2005,F:Free,,A:Normal value,94.26
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2005,F:Free,,A:Normal value,94.25
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2006,F:Free,,A:Normal value,94.33
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,28/02/2006,F:Free,,A:Normal value,93.94
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2006,F:Free,,A:Normal value,94.36
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2006,F:Free,,A:Normal value,94.73
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2006,F:Free,,A:Normal value,95.47
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2006,F:Free,,A:Normal value,95.63
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2006,F:Free,,A:Normal value,95.63
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2006,F:Free,,A:Normal value,95.59
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2006,F:Free,,A:Normal value,95.63
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2006,F:Free,,A:Normal value,95.42
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2006,F:Free,,A:Normal value,95.48
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2006,F:Free,,A:Normal value,95.84
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2007,F:Free,,A:Normal value,95.58
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,28/02/2007,F:Free,,A:Normal value,95.75
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2007,F:Free,,A:Normal value,96.26
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2007,F:Free,,A:Normal value,96.45
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2007,F:Free,,A:Normal value,96.35
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2007,F:Free,,A:Normal value,96.31
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2007,F:Free,,A:Normal value,96.42
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2007,F:Free,,A:Normal value,96.52
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2007,F:Free,,A:Normal value,96.71
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2007,F:Free,,A:Normal value,96.85
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2007,F:Free,,A:Normal value,97.69
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2007,F:Free,,A:Normal value,97.69
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2008,F:Free,,A:Normal value,98
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,29/02/2008,F:Free,,A:Normal value,97.77
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2008,F:Free,,A:Normal value,99.12
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2008,F:Free,,A:Normal value,99.46
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2008,F:Free,,A:Normal value,99.03
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2008,F:Free,,A:Normal value,99.05
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2008,F:Free,,A:Normal value,99.2
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2008,F:Free,,A:Normal value,97.99
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2008,F:Free,,A:Normal value,97.63
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2008,F:Free,,A:Normal value,96.98
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2008,F:Free,,A:Normal value,97
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2008,F:Free,,A:Normal value,99.91
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2009,F:Free,,A:Normal value,99.88
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,28/02/2009,F:Free,,A:Normal value,99.56
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2009,F:Free,,A:Normal value,100.76
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2009,F:Free,,A:Normal value,100.08
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2009,F:Free,,A:Normal value,100.15
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2009,F:Free,,A:Normal value,100.99
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2009,F:Free,,A:Normal value,100.87
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/08/2009,F:Free,,A:Normal value,100.33
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/09/2009,F:Free,,A:Normal value,100.86
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/10/2009,F:Free,,A:Normal value,101.28
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/11/2009,F:Free,,A:Normal value,101.34
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/12/2009,F:Free,,A:Normal value,100.88
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2010,F:Free,,A:Normal value,99.61
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,28/02/2010,F:Free,,A:Normal value,98.16
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2010,F:Free,,A:Normal value,97.54
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2010,F:Free,,A:Normal value,96.75
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2010,F:Free,,A:Normal value,95.3
