STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,MEX,Mexico,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,5.566164,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-09,,1.686747,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-10,,1.618722,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-11,,1.672055,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,1.492675,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,1.554023,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,1.812828,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,1.646128,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,1.58483,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,1.554357,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,1.496624,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,1.531729,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,1.576885,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-09,,1.695224,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-09,,4.722011,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-10,,4.45283,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-11,,4.981132,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,4.913076,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,4.593373,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,4.898267,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,4.20105,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,3.874814,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,3.86043,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,3.665689,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,2.147459,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,2.442529,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-09,,0,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-10,,-0.2,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-11,,-0.5,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,-0.3,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,-0.8,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,0.7,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,0.1,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,0.3,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,0.3,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,0.2,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,0.5,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,0.6,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-09,,0.4,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-09,,4.3,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-10,,2.9,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-11,,2.4,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,2.9,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,2.8,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,2.6,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,2.4,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,2.4,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,2.6,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,2.5,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,2.6,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,EA20,Euro area (20 countries),M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,2.2,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-09,,138.2824,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-10,,142.6615,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-11,,160.9208,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,211.4076,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,254.2483,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,276.2184,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,287.8691,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,289.4049,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,276.4103,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,ARG,Argentina,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,271.5297,,A,Normal value,0,Units,,,,,1,One
